title,ingredients,method,Main ingredients,Cuisine,Course,Prep time,Cook time,Serve,Taste,Level of cooking,Veg/Non Veg
Keema Pav - SK Khazana,[],"['Preheat oven to 180deg C.', 'Heat oil in a non-stick pan, add cumin seeds and saute till they change colour. Add onions and saute till lightly browned.', 'Add ginger-garlic paste and mix well. Add green chillies, mutton mince, mix and cook for 2-3 minutes.', 'Add tomatoes, mix and cook for 2-3 minutes. Add chilli powder, turmeric powder, coriander powder and mix well.', 'Add some water and mix. Add salt and mix. Add green peas and some more water, mix, cover and cook till fully done. Add lemon juice and mix.', 'Halve pavs horizontally. Spread cooked mutton mixture on the base half, top with emmental and cheddar cheese slices and cover with the top half.', 'Place the pavs on a baking tray and cover with aluminium foil. Put the tray in the preheated oven and bake for 15 minutes.', 'Serve hot.']",,Fusion,Snacks and Starters,,31-40 minutes,4,Spicy,,Non Veg
Quick Chocolate Torte,[],"['Melt dark chocolate in the microwave for one minute. Whisk and add milk and whisk again. Line a spring form tin with wafer biscuits.', 'Take crushed digestive biscuits in a bowl. Add crushed arrowroot biscuits and mix. Add Sugar Free Natura and mix.', 'Keeping aside a little of the chopped walnuts and cashewnuts add the rest along with milk powder and chocolate milk and mix well.', 'Pour this mixture over the wafer biscuits in the spring form tin and keep it in the refrigerator to chill.', 'Remove the torte from the spring form tin and place on a serving plate.', 'Sprinkle the remaining walnuts and cashewnuts and cut into wedges and serve.']",,Fusion,Desserts,,26-30 minutes,4,Sweet,,Veg
Rice Flake Fish,[],"['Preheat oven to 200degC. Combine fish, chilli sauce, ginger-garlic paste and lemon juice in bowl. Mix well and set aside for 5-10 minutes.', 'Finely chop basil leaves. Add pressed rice, basil leaves and egg to the fish. Mix well and set aside for 5 minutes.', 'Place marinated fish in a baking dish and cook in the preheated oven for 5 minutes. Drizzle a little oil and cook in the oven for 5 minutes more. Serve hot.']",,Fusion,Snacks and Starters,,21-25 minutes,4,Mild,,Non Veg
Coconut Crusted Potato Balls,[],"['Heat butter in a non-stick pan. Add garlic and saute for 30 seconds. Add potatoes, mix and cook for 1 minute.', 'Add crushed peppercorns, chilli flakes, parsley, nutmeg powder and salt and mix and cook for 1-2 minutes. Add parmesan cheese and mix well. Transfer onto a plate and cool.', 'Heat sufficient oil in a pan.', 'Divide the potato mixture into equal portions and shape them into balls.', 'Take  1/4  cup flour on the worktop and coat each ball with it.', 'Take remaining flour in a bowl. Add some water and mix well to make smooth slurry.', 'Take coconut in a bowl. Dip each ball in slurry and coat with coconut.', 'Deep-fry the balls in hot oil till golden and crisp. Drain on absorbent paper.', 'Serve hot garnished with parsley sprigs.']",,Fusion,Snacks and Starters,,6-10 minutes,4,Spicy,,Veg
Parsi Style Mutton Kababs,[],"['Take mutton mince in a bowl. Add salt, chilli powder, cumin powder, garam masala powder, ginger-garlic paste, green chillies and browned onions.', 'Trim off edges of bread slices and put them in another bowl. Add some water and soak for few seconds.', 'Squeeze out excess water from the soaked bread slices, crumble and add it to the mutton mixture.', 'Roughly chop mint sprigs and coriander sprigs, add to mutton mixture and mix well. Keep it in the refrigerator to marinate for 30 minutes.', 'Heat sufficient oil in a kadai.', 'Divide the mutton mixture into equal portions and shape them into balls.', 'Deep-fry mutton balls in hot oil on medium heat till golden and crisp. Drain on absorbent paper.', 'Serve hot garnished with a lemon wedge and few mint sprigs.']",,Parsi,Snacks and Starters,,16-20 minutes,4,Spicy,,Non Veg
Roasted Cherry Tomato and Guacamole Sandwich,[],"['Preheat oven to200o C. Line a baking tray with a silicon mat.', 'Halve cherry tomatoes and spread them in the baking tray. Drizzle some oil and sprinkle some crushed peppercorns and salt on top. Put some torn rosemary sprigs.', 'Place the baking tray in preheated oven and roast for 10 minutes.', 'To prepare guacamole, take avocado flesh in a bowl. Add tomato, onion, green chillies, coriander leaves, lemon juice, salt and crushed peppercorns and mix well.', 'Spread some feta cheese and guacamole on each bread slice. Put some roasted cherry tomatoes on top.', 'Serve immediately.']",,Fusion,Snacks and Starters,,6-10 minutes,4,Mild,,Veg
Thai Style Noodle Salad-Cook Smart,[],"['Boil 2 cups water in a deep non-stick pan.', 'Cut spring onions with greens into diamond shaped pieces and put into a bowl. Quarter cucumber vertically, remove the seeds and cut again into long thin strips. Put this into the same bowl.', 'Put glass noodles in the boiling water, switch off the heat and let it remain for a couple of minutes. Drain and put into a bowl of 1 cup cold water and separate its layers gently.', 'Cut capsicum into long thin strips and mix with cucumber and spring onions. Add carrot and mix well.', 'For dressing, finely chop lemon grass. Finely chop red chillies and put both into a bowl. Add ginger, salt, lemon juice and honey and mix well.', 'Add the dressing, reserving some, to the bowl of vegetables and mix well. Let it stand for 2-3 minutes.', 'Drain the noodles, squeeze out excess water and add to the bowl and mix well.', 'Finely chop mint leaves and coriander sprigs and add to the bowl. Drizzle the reserved dressing and mix well.', 'Transfer onto a serving plate and serve garnished with a sprig of mint.']",,Thai,Salads,,0-5 minutes,4,Spicy,,Veg
Apple Crisp,[],"['Preheat oven to 180deg C.', 'Halve and core the apple.', 'Dust worktop with some flour, place the dough and roll out into a  1/2  cm thick rectangle sheet. Cut into thick strips.', 'Brush each strip with some butter. Sprinkle some brown sugar and cinnamon powder on top.', 'Thinly slice the apple halves horizontally.', 'Place apple slices on one side of each strip, fold and roll them. Place them into individual silicon muffin moulds.', 'Place the moulds on a baking tray. Place the baking tray in the preheated oven and bake for 10-15 minutes.', 'Serve hot.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Sweet,,Veg
Peri Peri Chicken Pizza- SK Khazana,[],"[""To make peri peri paste, put onion, garlic cloves, ginger, red capsicum, coriander seeds, cumin seeds, bird's eye chillies, crushed black peppercorns, smoked paprika, sugar and salt in a blender jar. Grate some lemon zest into it and add juice of  1/2  lemon. Add parsley sprigs and dried red chillies and blend to smooth paste."", 'Take chicken in a bowl, add 2 tbsps of peri peri paste and 2 tbsps oil and mix till the chicken is well coated.', 'Heat remaining olive oil in a non-stick grill pan, place the chicken in it and cook on high heat, turning sides, till grill marks appear on both sides. Reduce the heat and cooked till done.', 'Slice the chicken and cut into  1/2  inch cubes.', 'Preheat the oven to 180deg C.', 'Dust the worktop with flour, place the dough on top, tap and press to spread to form a thick disc, the size of a pizza pan. Put it in the pan and spread it evenly, prick all over with a fork.', 'Spread 2 tbsps peri peri paste on the pizza base. Sprinkle mozzarella cheese cubes, green capsicum triangles, cherry tomato halves, chicken cubes and black olive slices. Sprinkle dried mixed herbs and drizzle some olive oil on top.', 'Keep the pan in the preheated oven and bake for 15-20 minutes.', 'Cut into wedges and serve']",,Fusion,Breads,,26-30 minutes,4,Spicy,,Non Veg
Paneer Kulcha,[],"['ift the flour together with the baking powder, baking soda and salt into a bowl. Add the sugar, milk, yogurt and knead well into a medium soft dough.', 'Apply 1 tbsp oil on the dough, cover with a damp cloth and set aside for 1 hour. Chop onion and mix it with paneer in a bowl. Add salt and red chilli powder and mix well', 'Grease your palms with a little oil and take a portion of the dough on one palm. Spread the dough with your fingers, place a portion of the stuffing in the centre, gather the edges and seal it well to enclose the stuffing completely and roll into pedas.', 'Use up the remaining dough and stuffing similarly. Put a little oil on each peda, and press lightly. Keep them aside for 15 minutes.', 'Sprinkle a few onion seeds over each peda. Dampen your left hand with water, place a peda over it and spread, using both hands, into a round kulcha.', 'Heat a non stick tawa. Place a kulcha over it with the side dampened with water facing down. Cover and cook till the underside is golden. Flip, cover and cook till the other side is equally golden.', 'Serve hot drizzled with butter.']",,Punjabi,Breads,,11-15 minutes,4,Mild,,Veg
Punjabi Samosa,"['1 1/2  cups refined flour', '4 medium potatoes, boiled and peeled', ' 1/4  teaspoon carom seeds (ajwain)', 'Salt to taste', '4 tablespoons ghee', '3 tablespoons coriander seeds', '2 tablespoons cumin seeds', '1 tablespoon chopped ginger', '2-3 green chillies, chopped', ' 1/2  cup boiled green peas', ' 1/2  teaspoon garam masala powder', '2 tsps dried and crushed pomegranate seeds', '2 tsps dried mango powder (amchur)', '2 tablespoons chopped fresh coriander leaves', 'Oil for drizzling + for deep frying', 'Green chutney to serve', 'Date and tamarind chutney to serve', 'Fried green chillies to serve']","['Take refined flour in a parat. Add carom seeds, salt and mix well.', 'Add 2 tablespoons ghee and mix well. Add 1 cup water and knead to stiff dough.Cover with a moist muslin cloth and set aside for 10 minutes.', 'Dry roast coriander seeds on medium heat for 2-3 minutes. Transfer to a mortar pestle.', 'Dry roast the cumin seeds in the same pan for 2 minutes on medium heat. Transfer in the mortar pestle and crush coarsely.', 'For the stuffing, heat remaining ghee in a kadai. Add 1 1/2  tablespoons of ground spice mix and saute for a few seconds.', 'Add ginger, green chillies and saute for 30 seconds.', 'Crush the potatoes and add to the kadai. Add the green peas and mix well. Add salt, garam masala powder, dried pomegranate seeds, dried mango powder and mix well.', 'Add coriander leaves and mix well. Take the pan off the heat.', 'Drizzle a little oil on a worktop and spread it evenly. Divide the dough into equal portions and shape each into a ball.', 'For making samosa, roll the prepared balls in an oblong and cut in half to make a semi-circle. Take a semi-circle and apply water on the edges, shape into a cone. Stuff with a portion of the prepared stuffing and press the edges to seal.', 'Heat sufficient oil in a kadai, deep fry the prepared samosas on medium heat till golden brown and crisp. Drain on an absorbent paper.', 'Serve hot with green chutney, date and tamarind chutney and fried green chillies.']",,"Indian,Punjabi",Snacks and Starters,,41-50 minutes,4,Tangy,,Veg
Mini Prawn Burger - SK Khazana,[],"['Put prawns into a blender, add prawns and blend to a coarse paste. Transfer it into a bowl. Add grated onion, potatoes, parsley, salt, crushed peppercorns and egg yolk.', 'Grate the zest of a lemon into the bowl and add breadcrumbs and mix well.', 'Take the egg whites in a bowl. And spread breadcrumbs on a plate.', 'Divide the mixture into 4 equal portions and shape into patties. Dip them in egg white and then coat with breadcrumbs and keep on a plate.', 'Heat sufficient oil in a non-stick pan, keep the patties in it and shallow fry on medium heat, turning sides, till golden brown on both sides. Drain on absorbent paper.', 'Cut the burger buns into half. Heat butter in another non-stick pan, keep the burger buns in it and toast them lightly.', 'Apply tartar sauce on the base halves of the buns. Place a prawn patty over the tartar sauce. Top it with a few onion rings, a slice of tomato, little tartar sauce and crush black peppercorns on top.', 'Keep a few micro greens on top. Cover the burger with the top halves, secure with a toothpick pierced with a halved cherry tomato. Serve immediately.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Mild,,Non Veg
Pachadi,[],"['Heat oil in a non-stick pan, add mustard seeds and let them splutter. Add asafoetida, split skinless black gram and broken dried red chillies and red chilli powder and saute for a few seconds.', 'Add tomatoes and mix well Add salt and toss for 1-2 minutes. Take the pan off the heat and set aside to cool completely.', 'Take yogurt in a bowl, add the tomato mixture and adjust salt, mix till well combined.Transfer into a serving bowl, garnish with fried curry leaves sprig and serve chilled.']",,Indian,Raitas,,6-10 minutes,4,Tangy,,Veg
Chunky Mushroom Soup,[],[],,Fusion,Soups,,10-15 minutes,4,Mild,,Veg
Pyaaz Aur Besan Ke Wade,[],"['Heat sufficient oil in a kadai. Chop onions in a chopper and put into a large glass bowl. Chop mint leaves, coriander leaves, green chillies in the chopper and add to the onions in the bowl. Add salt, red chilli powder, turmeric powder, coriander powder, cumin powder, gram flour and baking powder and mix well.', 'Sprinkle a little water and mix well. Drop spoonful of the mixture into the hot oil and deep fry till golden. Drain on absorbent paper and serve hot.']",,Indian,Snacks and Starters,,11-15 minutes,4,Mild,,Veg
Mix Vegetable Kofta Curry,[],"['To make the gravy, heat oil in a non-stick pan. Add cinnamon, green cardamoms, black peppercorns and cumin seeds and saute till fragrant.', 'Add red pumpkin, bottle gourd, red chilli powder, coriander powder, turmeric powder, cumin powder and garam masala powder and mix well.', 'Add bhuna masala and mix well. Add coriander and mint leaves and mix. Transfer the mixture into a mixer jar and let it cool slightly. Add a little water and grind into a puree. Transfer the puree into a bowl and set aside.', 'To make the koftas, mix together mixed vegetables, potatoes, breadcrumbs, green chillies, ginger, red chilli powder and salt.', 'Heat sufficient oil in a kadai. Divide the mixture into equal portions and shape them into balls. Slide these into hot oil and deep fry till golden and crisp. Drain on absorbent paper.', 'Heat butter in another non-stick pan. Add tomato puree and cook for 2 minutes. Strain the ground puree and add to this pan. Add fresh cream and mix well. Allow the gravy to come to a boil. Simmer for 1-2 minutes.', 'Transfer the gravy into a serving dish, place koftas over it and serve hot.']",,Indian,Main Course Vegetarian,,26-30 minutes,4,Mild,,Veg
Chilli Hoppers,[],"['Mix cheese, chopped garlic, crushed red chillies, crushed black peppercorns, chopped fresh parsley in a bowl.', 'Slit the chillies and remove the seeds. Stuff them with the cheese mixture. Set aside.', 'Mix refined flour, cornflour, baking powder and salt in a bowl. Add sufficient water and whisk to make a smooth and thick batter. Rest the batter for ten minutes.', 'Heat sufficient oil in a deep pan. Dip each stuffed chilli in the flour batter and deep-fry till crisp. They will not turn brown but remain white.', 'Drain onto an absorbent paper and serve hot.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Mild,,Veg
Plum Shortcake,[],"['Preheat oven to 180degC. Sieve together refined flour and baking powder into a bowl.', 'Whisk together eggs and vanilla essence in another bowl for 1-2 minutes. Add sugar, little by little, and whisk for 5-7 minutes or till fluffy.', 'Add butter and whisk further for 2-3 minutes. Add plums and flour and mix using cut and fold method.', 'Pour the mixture into a greased cake tin and bake in the preheated oven for 25-30 minutes. Remove from the cake tin, garnish with fresh plum slices, dust some icing sugar and serve.']",,Fusion,Desserts,,26-30 minutes,4,Sweet,,Non Veg
Pesto Chicken Bake,[],"['Preheat oven to 180deg C.', 'Line a glass baking dish with tomato roundels and sprinkle some salt and crushed peppercorns over them.', 'Place chicken slices covering the tomato layer and spread pesto on top. Sprinkle some salt and crushed peppercorns over the pesto.', 'Place the baking dish in the preheated oven and bake for 8-10 minutes. Remove from oven.', 'Place mozzarella cheese roundels on top covering the pesto layer and sprinkle some mixed dried herbs, crushed peppercorns and salt.', 'Place the dish back into the preheated oven and bake for 5 minutes.', 'Serve hot.']",,Fusion,Main Course Chicken,,11-15 minutes,4,Mild,,Non Veg
Basic Vanilla Ice Cream,[],"['Mix cornflour in quarter cup of milk. Boil the remaining milk in a non-stick pan. Add sugar and the cornflour mixture and simmer for four to five minutes. Set aside to cool.', 'Add fresh cream and vanilla essence and mix well. Pour it in a shallow container. Cover and freeze till almost set. Divide the mixture into two portions and blend each portion separately in a blender till smooth.', 'Transfer each of the two portions into the shallow container. Cover and freeze till firm. Scoop and serve.']",,Fusion,Desserts,,11-15 minutes,4,Sweet,,Veg
Kale and Chicken Salad,[],"['To make the dressing, put mayonnaise, mustard paste, honey and salt in a bowl and mix well.', 'Put kale, chicken, apple and carrot in another bowl and toss. Add the dressing and mix well.', 'Serve chilled.']",,British,Salads,,6-10 minutes,4,Mild,,Non Veg
Baingan Chips,[],"['Cut brinjal into thick round slices and place them in a bowl. Add ginger-garlic paste, red chilli powder, turmeric powder, salt and lemon juice and mix well so that the masala coats all the slices. Set aside to marinate for 5 minutes.', 'Heat oil in a non-stick pan.', 'Spread poppy seeds on a plate. Coat each marinated brinjal slice with poppy seeds and place them in the pan. Cover and cook on medium heat, flipping sides till evenly golden.', 'Transfer onto a serving plate and serve hot.']",,Indian,Snacks and Starters,,11-15 minutes,4,Spicy,,Veg
Fried Pomfret,[],"['Put coconut, coriander leaves, garlic cloves and green chillies in a grinder jar, add little water and grind to a fine paste.', 'Transfer the paste into a bowl, add tamarind pulp, salt, turmeric powder and red chilli powder and mix well.', 'Add the pomfrets and rub the marinade all over them. Set aside for 10 minutes.', 'Heat oil in a non-stick tawa. Coat each fish in semolina and place them on the tawa, 2 at a time, and cook, turning sides till evenly cooked and crisp on both sides.', 'Place each fish on a separate serving plate, garnish with mint sprig, serve hot with onion rings and lemon wedges.']",,Indian,Snacks and Starters,,16-20 minutes,4,Spicy,,Non Veg
Chicken Puff,[],"['Heat oil in a non-stick pan, add onion and saute till translucent. Add salt and mix.', 'Add green chillies and red chilli powder, mix and saute for a minute. Add tomato, mix and saute till soft and pulpy.', 'Add garam masala powder and mix well. Add chicken strips, mix and cook till fully done. Add cheese, mix and cook till it melts. Remove from heat and set aside to cool.', 'Preheat oven to 180 degC.', 'Dust the worktop with some flour, place the dough on it and roll out into a large sheet and cut into squares after trimming the uneven edges.', 'Place a spoonful of the cooked chicken in the centre of half the squares and top with some cheese. Cover with remaining squares, seal the edges by pressing with a fork.', 'Brush the puffs with beaten eggs and place them on a butter paper lined baking tray. Place the tray in the preheated oven and bake for 25-30 minutes.', 'Take the tray out of the oven, place the puffs on a serving platter and serve hot with tomato ketchup.']",,Fusion,Snacks and Starters,,41-50 minutes,4,Spicy,,Non Veg
Masala Banana Chips - SK Khazana,[],"['To make the spice mixture, take red chilli powder in a bowl, add, turmeric powder, salt and chaat masala and mix well..', 'Heat sufficient oil in a kadai.', 'Peel bananas and thinly slice them vertically on a mandolin slicer.', 'Drop the slices into hot oil, a few at a time, and deep-fry till golden and crisp. Drain on absorbent paper and transfer into a large bowl.', 'Sprinkle the spice mixture over them, toss and serve as required.']",,Indian,Snacks and Starters,,16-20 minutes,4,Spicy,,Veg
Besan ke Laddoo,[],"['Heat ghee in a non-stick pan, add green cardamom kernels and gram flour, mix and cook, stirring continuously, for 10-15 minutes or till fragrant. Remove the pan from heat, transfer into a bowl and stir continuously till it cools down to room temperature.', 'Add cardamom powder, cashew powder, almond powder and powdered sugar to the gram flour mixture and mix gently.', 'Divide the mixture into equal portions and shape them into laddoos.', 'Arrange them on a serving plate, garnish each laddoo with a raisin and serve.']",,Indian,Mithais,,11-15 minutes,4,Sweet,,Veg
Lemon Roast Chicken With Baked Vegetables,[],"['Preheat the oven to 220degC. Rub sea salt all over the chicken. Sprinkle freshly crushed black peppercorns. Put 3 lemon halves into the chicken cavity. Tie up the 2 legs together with a string. Sprinkle grated lemon rind over the chicken.', 'Halve 3 each of small red and yellow capsicums and put into a baking dish. Add 1 quartered onion, 4 garlic cloves and place the chicken over them. Drizzle around 4 tbsps oil over the chicken.', 'Squeeze the juice of  1/2  lemon and keep the dish in the preheated oven and cook for 15 minutes. Reduce temperature to 170degC and cook for 1 hour. Heat 2 tbsps oil in a non stick grill pan. Put 5 garlic cloves, 1 quartered onion on the grill pan.', 'Slice  1/2  green zucchini into round slices and place on the pan. Similarly slice  1/2  yellow zucchini into round slices and place in the pan. Place thick slices of green capsicum on the pan too. Halve 2 each small red and yellow capsicums and put into the pan.', 'Chop a little curly parsley. Let the vegetable in the grill pan cook till grill marks appear on them. Sprinkle salt and pepper powder over them. Bring the chicken out of the oven, drizzle remaining oil over it and put it back in the oven till the chicken is completely done.', 'Remove the lemon halves from the chicken cavity.\nArrange the grilled vegetables on either sides of a serving plate. Sprinkle parsley over the vegetables. Keep the chicken between the vegetables and serve hot.']",,Fusion,Main Course Chicken,,16-20 minutes,4,Mild,,Non Veg
Low Fat Chocolate Pudding,[],"['Heat milk in a deep non-stick pan for 2-3 minutes. Put  1/4  cup milk in a bowl, add custard powder and chocolate powder and whisk well. Add this mixture to the pan and cook till the mixture thickens. Add coffee powder and brown sugar and mix well.', 'Roughly chop bread slices and grind. Add the breadcrumbs to the pan and cook for 8-10 minutes.', 'Transfer this into 4 small cups, put 2-3 tbsps cooked custard in each cup, garnish with grated chocolate and pomegranate pearls. Chill in the refrigerator.', 'Serve chilled.']",,Fusion,Desserts,,1.30-2 hour,4,Sweet,,Veg
Corn Cups,[],"['Preheat oven at 180oC. Grease tart moulds with some oil.', 'Heat oil in a non-stick pan. Add onion and saute till translucent. Add green chillies and saute for a minute.', 'Add corn, mix well, reduce heat and cook till moisture is reduced. Add salt and mix well.', 'Add lemon juice and chopped coriander, mix well and cook for a minute. Remove from heat and cool.', 'Using a cookie cutter, cut out roundels from bread slices and lightly roll them. Apply butter on edges and line the tart moulds with them.', 'Place the tart moulds in the preheated oven and bake for 5-7 minutes.', 'Fill the tarts with corn mixture, top with chilli sauce and bake in preheated oven for 2-3 minutes.', 'Fill the tarts with corn mixture, top with chilli sauce and bake in preheated oven for 2-3 minutes.']",,"Fusion, , , ,",Snacks and Starters,,11-15 minutes,4,Spicy,,Veg
Chana Dal Halwa,[],"['Crush the chana dal in a chopper attachment and put it into a deep non stick pan. Add ghee and cook on medium heat, stirring continuously, till fragrant and lightly browned.', 'Add saffron and mix. Add khoya and mix. Add green cardamom powder and sugar and cook till sugar dissolves.', 'Add cashewnuts and almonds and mix. Cook for 1-2 minutes.', 'Serve hot or at room temperature.']",,Indian,Desserts,,16-20 minutes,4,Sweet,,Veg
Baked Oatmeal,[],"['Preheat oven at 180oC.', 'To make 1 portion, grease an ovenproof baking dish with some butter.', 'Break 2 eggs in a bowl and beat well with an electric beater. Add 2 tbsps raw sugar and beat again.', 'Add 1 tsp vanilla essence and beat well. Add 3-4 tbsps oatmeal and fold well.', 'Add  1/4  tsp baking powder and mix. Add 3-4 tbsps oatmeal and mix well.', 'Add  1/3  cup mixed nuts and mix well. Add 1 tbsp dried blueberries and mix well.', 'Roughly chop  1/2  apple and add. Mix well. Add  1/4  tsp cinnamon powder and mix well.', 'Transfer the oatmeal mixture in the greased baking dish, put the dish in the preheated oven and bake in the preheated oven for 7-8 minutes.', 'Serve hot topped with a cream cheese mouse.']",,Fusion,Snacks and Starters,,6-10 minutes,4,Sweet,,Non Veg
Stuffed Egg Spinach Curry,[],"['Heat 1 tbsp oil in a non-stick pan, add ginger, green chillies and saute for a minute.', 'Add spinach, 1 tsp coriander powder, turmeric powder, salt and mix well. Transfer the mixture in a bowl and keep aside.', 'Cut the eggs vertically, scoop out the egg yolks and add to the bowl and mix well with the spinach mixture.', 'Make small balls of the spinach mixture, stuff them back into the pockets of egg whites. Join both the halves of the egg and press lightly.', 'Mix together gram flour, white oats, carom seeds,  1/4  tsp red chilli powder, ginger garlic paste and water as required in a bowl to make a thick batter.', 'Heat sufficient oil in a deep pan.', 'Dust the eggs with a little gram flour and dip in the batter and slide them into hot oil. Deep-fry till golden and crisp. Drain on an absorbent paper.', 'Empty bhuna masala into a non-stick pan. Add tomato puree, remaining coriander powder, remaining red chilli powder, remaining turmeric powder, garam masala powder and mix well.', 'Add  1/4  cup water, adjust salt and allow to come to a boil. Add coriander leaves, lemon juice and mix well.', 'Transfer the gravy into a serving bowl, add fried eggs and serve hot.']",,Indian,Main Course Egg,,26-30 minutes,4,Spicy,,Non Veg
Aloo Paneer Bread Pakoda,"['2 medium potatoes, boiled, peeled and mashed', '200 grams cottage cheese (paneer), cut into 2 thick slices', '4 white bread slices', '1 tablespoon oil + for deep frying', '1 teaspoon mustard seeds', 'A pinch of asafoetida (hing)', '1 1/2  tablespoons crushed ginger-garlic-green chilli', '5-6 curry leaves', ' 1/2  teaspoon turmeric powder', 'Salt to taste', '2 tablespoons chopped fresh coriander leaves', 'Tomato ketchup to serve', 'Batter', '1 1/4  cups gram flour (besan)', ' 1/4  teaspoon turmeric powder', ' 1/4  teaspoon red chilli powder', 'Salt to taste', ' 1/4  teaspoon asafoetida (hing)', 'A pinch of baking soda']","['Heat 1 tbsp oil in a non-stick pan, add mustard seeds and let them splutter.', 'Add asafoetida and crushed ginger-garlic-green chilli, mix and saute for 1 minute. Add curry leaves, mix and saute for a few seconds.', 'Add turmeric powder and potatoes and mix well. Add salt and coriander leaves and mix well.', 'Take the pan off the heat and transfer the mixture into a bowl. Set aside to cool slightly.', 'To make the batter, take gram flour in a large bowl. Add turmeric powder, red chilli powder, salt, asafoetida, baking soda and  3/4  cup water and whisk till a smooth batter is formed.', 'Evenly apply a portion of the potato mixture on top of 2 bread slices, place a cottage cheese slice over them. Place the remaining bread slices on top to make a sandwich.', 'Cut each sandwich into 4 triangles.', 'Heat sufficient oil in a kadai.', 'Dip each triangle in the batter ensuring it is well coated. Gently slide a few of these at a time into hot oil and deep-fry till golden brown and crisp. Drain on absorbent paper.', 'Arrange them on a serving platter and serve hot with tomato ketchup.']","Potatoes, Cottage cheese (paneer), White bread slices, Crushed ginger-garlic-green chilli, Gram flour, Asafoetida, Baking soda",Indian,Snack,30-35 minutes,15-20 minutes,4,Savoury,Moderate,Veg
Shrimps Peking,[],"['Heat sufficient oil in a kadai.', 'Break egg in a bowl and whisk well. Add 1 tablespoon cornflour and mix well.', 'Add salt and mix well. Add prawns and mix well.', 'Deep-fry the prawns in hot oil till crisp and light brown. Drain on absorbent paper.', 'Heat 1 tablespoon oil in a non-stick pan, add onion and saute for a minute. Add garlic and ginger and saute further.', 'Add remaining cornflour to the stock, mix well and add to the pan.', 'Add soy sauce, sugar and salt and mix well.', 'Add rice wine vinegar and mix well. Add capsicum and mix well.', 'Slice water chestnuts and add to the pan. Mix and cook for 2 minutes.', 'Add fried prawns and mix well.', 'Serve hot.']",,Chinese,Main Course Seafood,,16-20 minutes,4,Mild,,Non Veg
Thai Red Prawn Curry,[],"[""Grind coconut, lemon grass, galangal, bird's eye chillies, turmeric powder, peppercorns and rice flour to a fine paste with sufficient water."", 'Heat oil in a non-stick pan, add Thai red curry paste and saute for 2 minutes.', 'Add onion and saute till golden brown. Add prawns and mix well.', 'Add ground paste and saute for a minute. Add salt, lemon juice and sugar and mix well.', 'Add a little water and cook on low heat till the prawns are half cooked.', 'Add mushrooms, reduce heat and add coconut milk. Cook for 2-3 minutes.', 'Add kaffir lime leaves and basil leaves and bring the mixture to a boil.', 'Serve hot garnished with spring onion greens.']",,Thai,Main Course Seafood,,16-20 minutes,4,Spicy,,Non Veg
Rice Vada - SK Khazana,[],"['Put split black gram, rice and 3 tbsps water in a blender jar and blend to a smooth paste.', 'To make tomato chutney, put tomato in another blender jar. Add ginger, garlic, tamarind and a little water and blend to a fine paste. Transfer into a bowl.', 'Add salt and mix, add 1 tbsp coriander leaves and mix well.', 'Transfer the rice-black gram mixture into another bowl. Add onion, carom seeds, green chillies, remaining coriander leaves,', 'Turmeric Powder and salt and mix well. Add baking soda and mix well.', 'Heat sufficient oil in a kadai, drop small portions of the dough with your fingers into hot oil and deep-fry till golden brown and crisp. Drain on absorbent paper.', 'Transfer them on a serving platter and serve hot with tomato chutney.']",,"South Indian,Indian,Fusion",Snacks and Starters,,6-10 minutes,4,Mild,,Veg
Urad Pepper Vada -SK Khazana,[],"['Take Whole Urad Dal in a large bowl, wash it well with sufficient water. Transfer into another bowl, add sufficient water and soak for 6-8 hours.', 'Heat sufficient oil in a kadai on medium heat.', 'Put the soaked Tata Sampann Whole Urad Dal into a blender jar, add salt, and a little water and blend into a fine and thick paste. Transfer the paste into a bowl.', 'Add onion, crushed black peppercorns, coconut, curry leaves, green chillies and chopped coriander. Mix well.', 'Drop small portions of the mixture with your finger into medium hot oil and deep-fry on medium heat till golden and crisp. Take care not to overcrowd the kadai. Drain on absorbent paper.', 'Transfer into a serving bowl and serve hot with red coconut chutney.']",,"South Indian,Indian",Snacks and Starters,,16-20 minutes,4,Spicy,,Veg
